domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
inet.equitas.bank.in,True,14.142.113.7,True,False,200,EquitasConsumerApp,https://inet.equitas.bank.in/EquitasConsumerApp/,
inet.idbi.bank.in,True,103.93.45.42,True,False,200,IDBI iNetBanking,https://inet.idbi.bank.in/,
inet.vishweshwar.bank.in,True,45.119.149.223,True,False,200,The Vishweshwar Sahakari Bank Ltd.,https://inet.vishweshwar.bank.in/,
inrprepaid.icici.bank.in,False,,False,False,,,,
instaloans.pnb.bank.in,False,,False,False,,,,
instaservices.hdfc.bank.in,False,,False,False,,,,
internet-banking.dbs.bank.in,False,,False,False,,,,
internetbanking.airtelpayments.bank.in,False,,False,False,,,,
investments.axis.bank.in,True,18.238.55.51,True,False,200,ILP,https://investments.axis.bank.in/,
ippbonline.bank.in,True,103.108.118.61,True,False,200,Personal - India Post Payments Bank,https://ippbonline.bank.in/,
ir.equitas.bank.in,True,159.60.128.94,True,False,503,,https://ir.equitas.bank.in/,
iretail.pnb.bank.in,True,103.109.224.174,True,False,200,Punjab National Bank- Internet Banking Login,https://iretail.pnb.bank.in/,
istatement.axis.bank.in,False,,False,False,,,,
jalore.bank.in,False,,False,False,,,,
jaloreccb.bank.in,True,98.84.224.111,True,False,200,The Jalore Central Co-Operative Bank Ltd.,https://jaloreccb.bank.in/,
jamnagardccb.bank.in,True,148.66.138.171,True,False,200,The Jamnagar District Co-Operative Bank Ltd.,https://jamnagardccb.bank.in/,
janasevabankpune.bank.in,True,82.165.3.153,True,False,200,"Janaseva Sahakari Bank Ltd., Hadapsar, Pune",https://janasevabankpune.bank.in/,
janasevaborivali.bank.in,True,82.165.3.153,True,False,200,"Janaseva Sahakari Bank LTD., Borivli",https://janasevaborivali.bank.in/,
jcom.bank.in,False,,False,False,,,,
jdcc.bank.in,False,,False,False,,,,
jns.canarabank.bank.in,True,103.122.53.91,True,False,200,,https://jns.canarabank.bank.in/,
jobs.rnsb.bank.in,True,80.225.238.186,True,False,200,:: Welcome To Rajkot Nagarik Sahakari Bank Ltd. - Career Web Site ::,https://jobs.rnsb.bank.in/,
jpbank.bank.in,True,72.61.242.160,False,False,0,,,URLError: <urlopen error timed out>
jskbambikapur.bank.in,True,88.222.211.215,True,False,200,"Jila Sahakari Kendriya Bank Maryadit, Ambikapur",https://jskbambikapur.bank.in/,
jskbraipur.bank.in,True,148.66.159.234,True,False,200,JSKBANK RAIPUR,https://jskbraipur.bank.in/,
jucbwai.bank.in,True,103.120.176.96,True,False,200,Janta Urban Co-Op Bank,https://jucbwai.bank.in/,
juno.axis.bank.in,True,18.164.116.82,True,False,200,Juno - Salary Account,https://juno.axis.bank.in/,
kadapadccb.bank.in,True,68.178.170.110,True,False,200,Kadapa DCCB,https://kadapadccb.bank.in/,
kaijs.bank.in,True,43.205.163.134,True,False,200,,https://kaijs.bank.in/,
kakinadadccb.bank.in,True,97.74.80.247,True,False,200,Kakinada District Co-Operative Central Bank – Kakinada DCCB,https://kakinadadccb.bank.in/,
kakinadatown.bank.in,True,217.21.85.16,True,False,200,Home - Kakinada Co-operative town bank ltd.,https://kakinadatown.bank.in/,
kangra.bank.in,True,49.50.81.76,True,False,200,The Kangra Co-operative Bank Ltd.,https://kangra.bank.in/,
kapps.kotak.bank.in,True,14.141.97.16,True,False,404,,https://kapps.kotak.bank.in/,
karimnagardccb.bank.in,True,68.178.169.42,True,False,200,karimnagar dccb ( District Cooperative Central Bank ),https://karimnagardccb.bank.in/,
karnatakaapex.bank.in,True,103.92.235.175,True,False,200,APEX BANK,https://karnatakaapex.bank.in/new/,
karnatakabank.bank.in,True,159.60.135.75,True,False,200,"Karnataka Bank: Personal Banking, Agri Banking, NRI Banking &amp; Business Banking Services",https://www.karnatakabank.bank.in/,
kasaragodtown.bank.in,True,3.108.138.23,True,False,200,The Kasaragod Co-Operative Town Bank Ltd No : 970,https://kasaragodtown.bank.in/,
kccbhp.bank.in,True,49.50.119.159,True,False,200,Kangra Central Co-operative Bank Ltd. Dharamshala,https://kccbhp.bank.in/,
kerala.bank.in,True,43.204.185.209,True,False,200,Kerala Bank - Kerala State Co-operative Bank,https://kerala.bank.in/,
khamgaonurban.bank.in,True,193.203.185.130,True,False,200,Home,https://khamgaonurban.bank.in/,
khattri.bank.in,False,,False,False,,,,
knowyourcreditscore.federal.bank.in,False,,False,False,,,,
kodagudccbank.bank.in,False,,False,False,,,,
kolhapurdccb.bank.in,False,,False,False,,,,
koraputccb.bank.in,True,199.79.63.133,True,False,200,"Welcome to Koraput Central Co-operative Bank Ltd.,",https://koraputccb.bank.in/,
kotakremit.kotak.bank.in,True,104.18.16.8,True,False,200,Kotak Bank,https://kotakremit.kotak.bank.in/,
krishna.bank.in,True,103.120.176.96,True,False,200,"KRISHNA SAHAKARI BANK LTD., RETHARE BK.",https://krishna.bank.in/,
krishnadccb.bank.in,True,68.178.167.13,True,False,200,Krishna DCCB,https://krishnadccb.bank.in/,
kucb.bank.in,True,103.191.209.165,True,False,200,Kolhapur Urban Bank &#8211; Kolhapur Urban Cooperative Bank Ltd.,https://kucb.bank.in/,
kurnooldccb.bank.in,False,,False,False,,,,
kycuat.icici.bank.in,False,,False,False,,,,
lalaurban.bank.in,False,,False,False,,,,
latururban.bank.in,False,,False,False,,,,
leads.centralbank.bank.in,False,,False,False,,,,
leads.icici.bank.in,True,103.87.40.88,True,False,404,,https://leads.icici.bank.in/,
leap.axis.bank.in,True,99.84.160.8,True,False,200,Axis Bank,https://leap.axis.bank.in/,
link.zoroastrianbank.bank.in,True,185.3.93.228,True,False,200,SMTP2GO,https://link.zoroastrianbank.bank.in/,
lms.deutsche.bank.in,True,23.34.59.14,True,False,200,"Deutsche Bank AG, India",https://lms.deutsche.bank.in/,
loanrepay.pnb.bank.in,True,103.109.225.21,True,False,200,PNB Loan Repayment Collection,https://loanrepay.pnb.bank.in/,
loans.icici.bank.in,True,14.140.248.229,True,False,200,Mortgage Self Service,https://loans.icici.bank.in/,
loans.idfcfirst.bank.in,True,34.226.36.51,True,False,200,Account Aggregator,https://loans.idfcfirst.bank.in/AA/s/,
loans.indusind.bank.in,True,159.60.131.186,True,False,200,IIS Windows Server,https://loans.indusind.bank.in/,
loanservicing.kotak.bank.in,True,104.18.16.8,True,False,200,React App,https://loanservicing.kotak.bank.in/,
loantracker.axis.bank.in,False,,False,False,,,,
locate.au.bank.in,True,13.206.181.20,True,False,200,AU Small Finance Bank Locator/Finder | Banks,https://locate.au.bank.in/,
locate.pnb.bank.in,True,13.127.41.19,True,False,200,PNB Locator/Finder | Public Sector Bank,https://locate.pnb.bank.in/,
locations.federal.bank.in,True,20.244.77.204,True,False,200,404,https://locations.federal.bank.in/,
lockeragreement.pnb.bank.in,True,103.109.224.39,False,False,0,,,RemoteDisconnected: Remote end closed connection without response
logs.my.idfcfirst.bank.in,False,,False,False,,,,
lps.uco.bank.in,False,,False,False,,,,
mahabubnagardccb.bank.in,False,,False,False,,,,
mail.abhinav.bank.in,False,,False,False,,,,
mail.absbl.bank.in,False,,False,False,,,,
mail.acab.bank.in,True,114.31.230.16,True,False,200,Rediffmail,https://webmail.rediffmailpro.com/action/login/acab.bank.in,
mail.jana.bank.in,True,121.244.48.158,True,False,200,Webmail,https://mail.jana.bank.in/,
malojiraje.bank.in,True,184.168.119.100,True,False,200,Shrimant Malojiraje Sahakari Bank Ltd.,https://malojiraje.bank.in/,
manndeshi.bank.in,True,93.127.206.170,False,False,0,,,URLError: <urlopen error timed out>
